Order,Family,Genus,Species,Binomial,ActivityCycle,AdultBodyMass,GestationLen,HomeRange,DietBreadth,LitterSize,LittersPerYear,MaxLongevity,HabitatBreadth,NeonateBodyMass,PopulationDensity,Terrestriality,TrophicLevel
Artiodactyla,Bovidae,Taurotragus,oryx,Taurotragus oryx,both,562592.69,271,195.15,4,1,NA,300,2,30889.05,1.64,ground dwelling,herbivore
Artiodactyla,Bovidae,Syncerus,caffer,Syncerus caffer,both,592665.98,337.49,63.73,3,1.08,1,354,3,39843.11,5.84,ground dwelling,herbivore
Artiodactyla,Bovidae,Bos,taurus,Bos taurus,NA,618642.42,280.48,10.04,4,NA,1,240,1,NA,NA,NA,NA
Artiodactyla,Bovidae,Bison,bison,Bison bison,both,624577.07,283.17,47.39,3,0.98,1,396,NA,20000,0.28,ground dwelling,herbivore
Artiodactyla,Bovidae,Bos,javanicus,Bos javanicus,both,635974.34,296.78,NA,1,1.22,1,318.96,1,NA,0.75,ground dwelling,herbivore
Artiodactyla,Bovidae,Taurotragus,derbianus,Taurotragus derbianus,NA,646024.25,NA,NA,3,NA,NA,194.04,2,NA,0.74,ground dwelling,herbivore
Artiodactyla,Bovidae,Bos,sauveli,Bos sauveli,both,791321.76,NA,NA,3,NA,NA,NA,NA,NA,NA,ground dwelling,herbivore
Artiodactyla,Bovidae,Bos,frontalis,Bos frontalis,both,800143.05,273.75,NA,3,1.22,1,314.4,NA,22977.05,0.54,NA,herbivore
Artiodactyla,Bovidae,Bubalus,bubalis,Bubalus bubalis,NA,929500.97,320,3.63,NA,1.5,1,339,NA,NA,1.06,ground dwelling,herbivore
Artiodactyla,Giraffidae,Giraffa,camelopardalis,Giraffa camelopardalis,both,964654.73,455.25,81.52,NA,1.29,1,435.6,NA,55244.9,1.23,ground dwelling,herbivore
Perissodactyla,Rhinocerotidae,Diceros,bicornis,Diceros bicornis,NA,995940.54,466.24,11.48,NA,1,NA,564,2,34999.99,0.11,ground dwelling,herbivore
Perissodactyla,Rhinocerotidae,Dicerorhinus,sumatrensis,Dicerorhinus sumatrensis,both,1046156.04,310.19,11.87,3,1,NA,420,1,22849.5,1.05,ground dwelling,herbivore
Artiodactyla,Hippopotamidae,Hippopotamus,amphibius,Hippopotamus amphibius,both,1536310.4,235.37,NA,NA,1,1,654,NA,40199.99,4.86,ground dwelling,omnivore
